source_row,reading_raw,nom_raw,example_raw,note_raw,source_url
2,a,丫,丫鬟 a hoàn,U+4E2B,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
3,A,阿,"阿從 a tòng · 阿諛 a
  dua · 阿片 a phiến · 阿羅漢 A La Hán · 阿哬！ a ha! [嘆]","[翻]

    U+963F",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
4,Á,亞,"洲亞 Châu Á · 亞金 á
  kim · 亞聖 á thánh",U+4E9E,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
5,á,啞,啞𤴬 á đau,U+555E,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
6,Á,啞,啞口 á khẩu,U+555E,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
7,à,啊,勢啊？ Thế à? [嘆],U+554A,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
8,ã,啊,"嗢啊 ồn ã
  [𠸨]",U+554A,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
9,ả,妸,"淹妸 êm ả · 妸陶 ả
  đào",U+59B8,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
10,ạ,吖,"𠳐吖！ Vâng
  ạ! · 嘲俱吖 Chào cụ ạ",U+5416,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
11,ÁC,惡,"善惡 thiện ác · 惡人
  ác nhân · 惡夢 ác mộng · 惡性 ác tính · 惡心 ác tâm",U+60E1,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
12,ác,𪅴,"𪅴羅 ác là
  · 𣈖𪅴 bóng ác","[異] 鵶

    U+2A174",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
13,ắc,乙,"𣺻乙 ăng
  ắc · 𣹓乙 đầy ắc",U+4E59,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
14,ạc,噁,𠿮噁 ậm ạc,"[翻]

    U+5641",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
15,ÁCH,厄,災厄 tai ách,"[翻]
U+5384",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
16,ÁCH,阨,阨塞 ách tắc,U+9628,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
17,ách,呃,嚶呃 anh ách [聲],U+5443,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
18,ÁCH,軛,"軛𤛠 ách
  trâu · 軛奴隸 ách nô lệ",U+8EDB,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
19,ạch,伌,"𥑴伌 ì ạch
  · 𤃝伌 lạch ạch",U+4F0C,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
20,AI,哀,哀怨 ai oán,U+54C0,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
21,ai,埃,"埃妬 ai đó · 埃埃 ai
  ai",U+57C3,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
